time;command
1614958671.3788772;ff0a0005aa
1614958671.5588508;ff30000600aa
1614958671.8747818;ff34000d00000000012f00e1aa
1614958671.9638877;ff00000601aa
1614958672.0548468;ff62000a0731303000aa
1614958672.1443746;ff62000c0a31363a333700aa
1614958672.2340631;ffa2080e000001780309aed001aa
1614958675.2491949;ff30000600aa
1614958675.3392615;ff34000d00000000012f00e1aa
1614958675.429233;ff37000e0098008004030f3500aa
1614958675.7998502;ff13000601aa
1614958676.2399135;ff37000e0098008004030f3400aa
1614958676.29766;ff13000600aa
1614958677.229852;ff37000e0098008004030f3300aa
1614958678.265439;ff37000e0098008004030f3200aa
1614958679.3452866;ff37000e0098008004030f3100aa
1614958680.2457108;ff37000f0098008004030f476f00aa
1614958681.5052917;ff010005aa
1614958681.5946546;ff62000a0731303000aa
1614958681.6948445;ff62000c0a31363a333700aa
1614958681.819914;ff66000f0c001e91b5b5b5b52d00aa
1614958681.9097261;ff6600120b001e5530303a30303a303000aa
1614958681.9997494;ff66000f0f001e19b5b5b5b52d00aa
1614958682.0893714;ff62000a0731303000aa
1614958682.179161;ff62000c0a31363a333700aa
1614958682.3137853;ff66000f0c001e91b5b5b5b52d00aa
1614958682.4506264;ff6600120b001e5530303a30303a303000aa
1614958682.6305652;ff66000f0f001e19b5b5b5b52d00aa
1614958682.7651007;ff62000a0731303000aa
1614958682.8551786;ff62000c0a31363a333800aa
1614958682.9448235;ff66000f0c001e91b5b5b5b52d00aa
1614958683.0346475;ff6600120b001e5530303a30303a303100aa
1614958683.214283;ff66000f0f001e19b5b5b5b52d00aa
1614958683.5299246;ff62000a0731303000aa
1614958683.7104115;ff62000c0a31363a333800aa
1614958683.800032;ff66000f0c001e91b5b5b5b52d00aa
1614958683.8902783;ff6600120b001e5530303a30303a303200aa
1614958683.9797697;ff66000f0f001e19b5b5b5b52d00aa
1614958684.4291828;ff62000a0731303000aa
1614958684.6558006;ff62000c0a31363a333800aa
1614958684.7456305;ff66000f0c001e91b5b5b5b52d00aa
1614958684.835453;ff6600120b001e5530303a30303a303300aa
1614958684.9253407;ff66000f0f001e19b5b5b5b52d00aa
1614958685.5109346;ff62000a0731303000aa
1614958685.6459002;ff62000c0a31363a333800aa
1614958685.7361786;ff66000f0c001e91b5b5b5b52d00aa
1614958685.8703113;ff6600120b001e5530303a30303a303400aa
1614958686.0053294;ff66000f0f001e19b5b5b5b52d00aa
1614958686.4097664;ff62000a0731303000aa
1614958686.589136;ff62000c0a31363a333800aa
1614958686.678929;ff66000f0c001e91b5b5b5b52d00aa
1614958686.8158574;ff6600120b001e5530303a30303a303500aa
1614958686.9506423;ff66000f0f001e19b5b5b5b52d00aa
1614958687.4448147;ff62000a0731303000aa
1614958687.53438;ff62000c0a31363a333800aa
1614958687.6242902;ff66000f0c001e91b5b5b5b52d00aa
1614958687.7140436;ff6600120b001e5530303a30303a303600aa
1614958687.895944;ff66000f0f001e19b5b5b5b52d00aa
1614958688.4801426;ff62000a0731303000aa
1614958688.569216;ff62000c0a31363a333800aa
